brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,cell_asuLevel,cell_dbm,cell_level,cell_mcc,cell_mnc,cell_mobileNetworkOperator,cell_rssi,cell_timingAdvance,cell_bands,cell_bandwidth,cell_ci,cell_earfcn,cell_tac,cell_rsrp,cell_rsrq,cell_rssnr
vivo,V2121A,11,4G,China Telecom,jilinsheng,sipingshi,138.3,88f9a756b66a32039ac16201503edd77,56,-84;-84,4,460,1,46001,-83;-83,3,[],2147483647,82257173,1650,1907,-84;-84,-6;-6,1
OPPO,PEQM00,12,4G,China Unicom,xinjiangweiwuerzizhiqu,kashidiqu,12.5,a9ac393c26693f5268971a24fbefb341,48,-92;-92;-92;-92;-92;-91;-91;-91;-91;-92;-92;-92;-92;-93;-93;-93;-93;-93;-93;-93,3,460,1,46001,-83;-85;-85;-85;-85;-81;-81;-81;-81;-81;-81;-81;-81;-83;-83;-83;-83;-83;-81;-81,0,['3'],2147483647,119746690,1650,41358,-92;-92;-92;-92;-92;-91;-91;-91;-91;-92;-92;-92;-92;-93;-93;-93;-93;-93;-93;-93,-10;-8;-8;-8;-8;-10;-10;-10;-10;-12;-12;-12;-12;-11;-11;-11;-11;-11;-13;-13,0
vivo,V2134A,11,4G,China Mobile,shandongsheng,rizhaoshi,65.3,e6b99a3e6021b76c77a89d301c8005dd,74,-66;-66,4,460,0,46000,2147483647;2147483647,3,[],20000,153906510,39148,21491,-66;-66,-4;-4,3
vivo,V2047A,11,4G,China Telecom,shanxisheng,hanzhongshi,0.7,dfbadcfb1764cd7a5ec4b54d8984faca,44,-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96,2,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,5,[],20000,56803377,1850,10281,-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96;-96,-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-17;-16;-16;-16;-16;-16;-16;-16;-16;-17;-17,0
vivo,V2047A,11,4G,China Telecom,guangdongsheng,foshanshi,17.8,4bbaa8ba653e6686c4d3640fabfec65f,17,-123;-123,0,460,11,46011,-75;-75,3,[],20000,70396883,300,9595,-123;-123,-9;-9,0
realme,RMX3031,12,4G,China Mobile,guangxizhuangzuzizhiqu,baiseshi,0.1,0d1f9a36b734b29056aeb0721dee4582,40,-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100,2,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,13,['8'],2147483647,246469196,3590,30825,-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100,-12;-12;-12;-12;-12;-12;-12;-12;-12;-11;-11;-11;-11;-11;-12;-12;-12;-12;-12;-11;-11;-11,0
vivo,V1938CT,10,4G,China Mobile,hunansheng,chenzhoushi,38.3,e603a601413903dc4496f9e7bcf4b438,49,-91;-91;-91;-91,3,460,11,46011,2147483647;2147483647;2147483647;2147483647,0,['Added in API level 30'],10000,20541844,2452,35725,-91;-91;-91;-91,-6;-6;-6;-6,12
vivo,V2072A,11,4G,China Unicom,tianjinshi,tianjinshi,11.1,b2a7e092f739da37fe4332bd97a4e6f8,56,-84;-84;-84;-84;-84;-84;-84;-84;-84;-86;-86;-86;-86;-86;-86;-86;-86,4,460,1,46001,-83;-83;-83;-83;-83;-83;-83;-83;-83;-85;-85;-85;-85;-85;-85;-85;-85,8,[],2147483647,14727446,1700,8546,-84;-84;-84;-84;-84;-84;-84;-84;-84;-86;-86;-86;-86;-86;-86;-86;-86,-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12,2
vivo,V2046A,11,4G,China Unicom,sichuansheng,dazhoushi,13.2,fc1718d3df8c7247d871890a92a3b71e,43,-97;-97,2,460,0,46000,2147483647;2147483647,0,[],20000,243307531,38400,33419,-97;-97,-9;-9,2
vivo,V2046A,11,4G,China Mobile,shandongsheng,dongyingshi,4.7,c07bc6bc0095b14204f36c91a3e188eb,29,-111;-111;-111;-111;-111;-111;-111;-111;-111;-110;-110;-110;-110;-110;-109;-109;-109;-109;-109;-110;-110;-110,1,460,0,46000,-75;-75;-75;-75;-75;-69;-69;-69;-69;-69;-69;-69;-69;-69;-65;-65;-65;-65;-65;-63;-63;-63,8,[],10000,157465196,3590,21464,-111;-111;-111;-111;-111;-111;-111;-111;-111;-110;-110;-110;-110;-110;-109;-109;-109;-109;-109;-110;-110;-110,-11;-11;-11;-11;-11;-12;-12;-12;-12;-12;-12;-12;-12;-12;-13;-13;-13;-13;-13;-13;-13;-13,0
vivo,V2002A,10,4G,China Mobile,guangdongsheng,foshanshi,64.4,fa44f63cbf5fbe5e9d59530acaff469e,32,-108;-108;-108;-108;-108;-108;-108;-108;-108;-109;-109;-109;-109;-110;-110;-110;-110;-112;-112;-112;-112,1,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;-51;-51;-51;-51;-53;-53;-53;-53;-55;-55;-55;-55;-55;-55;-55;-55,2,['Added in API level 30'],20000,222724405,1850,31339,-108;-108;-108;-108;-108;-108;-108;-108;-108;-109;-109;-109;-109;-110;-110;-110;-110;-112;-112;-112;-112,-8;-8;-8;-8;-8;-7;-7;-7;-7;-7;-7;-7;-7;-8;-8;-8;-8;-9;-9;-9;-9,13
vivo,V2002A,10,4G,China Mobile,shandongsheng,weifangshi,9.3,b010c0950df7c66d6e1e55cab9d8c3db,47,-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-92,3,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,0,['Added in API level 30'],10000,182684480,3590,25444,-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-92,-9;-9;-9;-9;-9;-9;-9;-9;-12;-12;-12;-12;-14;-14;-14;-14;-14;-14;-14;-14;-14;-13,6
OPPO,PFDM00,11,4G,China Telecom,gansusheng,baiyinshi,490.4,4cd30c142ffeccdb7e4e7f196d78744d,36,-104;-104,2,460,11,46011,-93;-93,2147483647,[],2147483647,203227393,100,49623,-104;-104,-9;-9,0
vivo,V2046A,11,4G,China Unicom,guangdongsheng,yangjiangshi,1.8,096ac877f1b16d1a6986c7b61483391e,50,-90;-90;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90,3,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,16,[],5000,76594948,3715,9953,-90;-90;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-89;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90,-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10,1
vivo,V2046A,11,4G,China Telecom,shandongsheng,liaochengshi,3.2,79178a9ee328cc8269bd46cb3e9e80b7,45,-95;-95,3,460,0,46000,2147483647;2147483647,0,[],20000,45558413,39148,21260,-95;-95,-5;-5,2
vivo,V2072A,11,4G,China Mobile,guizhousheng,guiyangshi,23,4df13e999c5b381f373e8e138d183333,51,-89;-89,3,460,0,46000,-85;-85,2147483647,[],2147483647,142449924,36275,34066,-89;-89,-9;-9,1
vivo,V2072A,11,4G,China Mobile,hunansheng,changdeshi,35.1,cf9a484b3ffc2e70433280df511ed3a9,49,-91;-91;-91;-91;-91;-91;-91;-91;-91;-91,3,460,11,46011,-87;-87;-87;-87;-87;-87;-87;-87;-87;-87,2147483647,[],2147483647,24880024,2452,35452,-91;-91;-91;-91;-91;-91;-91;-91;-91;-91,-7;-7;-7;-7;-7;-7;-7;-7;-7;-7,1
vivo,V2046A,11,4G,China Mobile,jiangsusheng,nanjingshi,25.1,0b59a80290ed735d94290dc67b9f8e93,26,-114;-114;-114;-114;-114;-113;-113;-113;-113,1,460,11,46011,-61;-61;-61;-61;-61;-53;-53;-53;-53,4,[],10000,67051793,2452,16435,-114;-114;-114;-114;-114;-113;-113;-113;-113,-15;-15;-15;-15;-15;-15;-15;-15;-15,0
vivo,V1938CT,10,4G,China Telecom,sichuansheng,neijiangshi,0.9,c68d6582e51d12c46aceaa0152b2a3bb,32,-108;-108,1,460,11,46011,2147483647;2147483647,11,['Added in API level 30'],20000,173111857,1850,42241,-108;-108,-14;-14,-8
vivo,V2121A,11,4G,China Unicom,shandongsheng,dongyingshi,78.3,a2b607a1213b63c75227afddaac8f5b4,45,-95;-95,3,460,1,46001,-89;-89,1,[],2147483647,51181317,3745,21275,-95;-95,-8;-8,1
vivo,V2046A,11,4G,China Mobile,sichuansheng,dazhoushi,32.6,fc1718d3df8c7247d871890a92a3b71e,44,-96;-96,2,460,0,46000,2147483647;2147483647,0,[],20000,243307531,38400,33419,-96;-96,-10;-10,2
vivo,V1938T,10,4G,China Telecom,guizhousheng,bijieshi,6.2,6bbc1914ba0352c65fb8b8c0f11398a9,47,-93;-93;-97;-97;-97;-97;-97;-97,3,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,56,['Added in API level 30'],20000,142035714,38400,33905,-93;-93;-97;-97;-97;-97;-97;-97,-13;-13;-12;-12;-12;-12;-10;-10,1
vivo,V2072A,11,4G,China Mobile,anhuisheng,fuyangshi,57.5,02edb1723900423a58c70596d026506a,32,-108;-108;-108;-108,1,460,11,46011,-95;-95;-95;-95,2147483647,[],2147483647,111838771,1850,27268,-108;-108;-108;-108,-10;-10;-10;-10,0
vivo,V1938CT,10,4G,China Telecom,sichuansheng,meishanshi,4,2845b8f7c3fb66e1223e4aeaa9995422,36,-104;-104,2,460,11,46011,2147483647;2147483647,11,['Added in API level 30'],20000,124658720,1650,41828,-104;-104,-10;-10,6
vivo,V2068A,11,4G,China Telecom,henansheng,zhoukoushi,8.8,f6b7674357a2012cefe8055c8f4ee9d6,36,-104,2,460,11,46011,-93,23,[],2147483647,188645008,2452,11506,-104,-9,0
vivo,V2072A,11,4G,China Telecom,gansusheng,wuweishi,4.1,b640308b2e0107189a71c1d352f7e63e,48,-92;-92;-92;-92;-92,3,460,11,46011,-87;-87;-87;-87;-87,1,[],2147483647,180670999,2452,49745,-92;-92;-92;-92;-92,-10;-10;-10;-10;-10,1
vivo,V2002A,10,4G,China Unicom,henansheng,shangqiushi,25.1,8a9ec1d0aaebc56435254ef7a04b2c56,67,-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73,4,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,2,['Added in API level 30'],20000,72351538,1650,11335,-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73,-6;-6;-6;-6;-6;-12;-12;-12;-12;-12;-12;-12;-12;-13;-13;-13;-13;-13;-13;-13;-13;-13,22
OPPO,PFDM00,11,4G,China Mobile,beijingshi,beijingshi,294.9,191741245781d9757382866e0cefcad0,56,-84;-84;-84;-84;-84;-84;-84;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76,4,460,0,46000,-83;-83;-83;-83;-83;-83;-83;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79;-79,4,[],2147483647,4261643,38400,4417,-84;-84;-84;-84;-84;-84;-84;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76,-7;-7;-8;-8;-8;-8;-8;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5,1
vivo,V2072A,11,4G,China Mobile,heilongjiangsheng,haerbinshi,6.1,f9d47c2efd2d758ef6260f4bcb80524e,34,-106;-106;-106;-106;-106;-105;-105;-105;-105;-105;-105;-105;-105,1,460,0,46000,-95;-95;-95;-95;-95;-93;-93;-93;-93;-93;-93;-93;-93,4,[],2147483647,75572531,38400,17964,-106;-106;-106;-106;-106;-105;-105;-105;-105;-105;-105;-105;-105,-16;-16;-16;-16;-16;-19;-19;-19;-19;-19;-19;-19;-19,1
vivo,V2002A,10,4G,China Mobile,hunansheng,chenzhoushi,36.3,88d78c4b26e8e12d935d08de43a3858a,47,-93;-93;-93;-90;-90;-90;-90;-90;-88;-88;-88;-88;-93;-93;-93;-93;-92;-92;-92;-92;-90;-90,3,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,0,['Added in API level 30'],20000,73429381,38400,29621,-93;-93;-93;-90;-90;-90;-90;-90;-88;-88;-88;-88;-93;-93;-93;-93;-92;-92;-92;-92;-90;-90,-8;-8;-8;-8;-8;-8;-8;-8;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-11;-11,12
vivo,V1962A,10,4G,China Telecom,yunnansheng,kunmingshi,13.4,2bc45bfa85c70cb6fe23a90a03fb5b8c,56,-84;-84;-84;-84;-84;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-85;-85;-85;-85;-85;-85,4,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,6,['Added in API level 30'],20000,180409348,100,44294,-84;-84;-84;-84;-84;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-87;-85;-85;-85;-85;-85;-85,-14;-14;-14;-14;-14;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-14;-14;-14;-14;-15;-15,0
Xiaomi,M2012K10C,12,4G,China Unicom,guangdongsheng,guangzhoushi,12.9,cec44e6a52ea61c3bfa4ec65b125a565,46,-94;-94,3,460,1,46001,2147483647;2147483647,6,['3'],2147483647,101112085,1650,9940,-94;-94,-12;-12,0
vivo,V2002A,10,4G,China Unicom,heilongjiangsheng,qiqihaershi,59.7,2de6046933b3b8443cdf10440220c5c2,27,-113;-113,1,460,1,46001,-57;-57,16,['Added in API level 30'],20000,163690640,400,17725,-113;-113,-7;-7,8
vivo,V2162A,11,4G,China Unicom,henansheng,anyangshi,82.7,d19d01aa8152ba9cdde094bcbd5d31bf,87,-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-51;-51;-51;-51;-51;-51;-51;-51;-51,4,460,1,46001,-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67,2,[],2147483647,72824882,1650,11269,-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-53;-51;-51;-51;-51;-51;-51;-51;-51;-51,-9;-9;-9;-9;-9;-9;-9;-9;-9;-8;-8;-8;-8;-9;-9;-9;-9;-8;-8;-8;-8;-8,3
vivo,V2047A,11,4G,China Unicom,liaoningsheng,shenyangshi,261.8,9e40e4adcad5c289da00049f075c6db4,36,-104;-104,2,460,1,46001,2147483647;2147483647,13,[],20000,16849666,1650,60696,-104;-104,-14;-14,0
vivo,V2002A,10,4G,China Unicom,neimengguzizhiqu,tongliaoshi,3.9,bf0b61c583deafc7344d3482e57060d0,40,-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-101;-101;-101,2,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,0,['Added in API level 30'],20000,237205279,1650,57980,-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-101;-101;-101,-8;-8;-10;-10;-10;-10;-9;-9;-9;-9;-9;-9;-9;-9;-9;-10;-10;-10;-10;-11;-11;-11,14
vivo,V2046A,11,4G,China Telecom,liaoningsheng,liaoyangshi,11.4,9b45c64efedc17ea0acdf726addd74ed,47,-93;-93;-93;-93;-93;-93;-93;-93;-93;-91;-91;-91;-91;-94;-94;-94;-94;-94;-98;-98;-98;-98,3,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,12,[],10000,263389334,2452,2999,-93;-93;-93;-93;-93;-93;-93;-93;-93;-91;-91;-91;-91;-94;-94;-94;-94;-94;-98;-98;-98;-98,-9;-9;-9;-9;-9;-14;-14;-14;-14;-12;-12;-12;-12;-9;-9;-9;-9;-9;-9;-9;-9;-9,0
vivo,V2121A,11,4G,China Telecom,neimengguzizhiqu,chifengshi,39.2,3e314886c24c7b3430eac575d9b62a39,33,-107;-107;-107,1,460,11,46011,-95;-95;-95,4,[],2147483647,15488049,1850,57940,-107;-107;-107,-11;-11;-11,0
vivo,V1938CT,10,4G,China Unicom,shanghaishi,shanghaishi,350.6,5623aa05541d2e4448777dbce5c841b9,61,-79;-79;-78;-80;-75;-80;-75;-80;-75;-80;-75;-79;-75;-79;-75;-79;-75;-79;-75;-79;-75;-77;-76;-77;-76;-77;-76;-77;-76;-77;-76;-75;-72;-75;-72;-75;-72;-75;-72;-75;-75;-75;-75,4,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,1,['Added in API level 30'],20000,8524811,1650,59490,-79;-79;-78;-80;-75;-80;-75;-80;-75;-80;-75;-79;-75;-79;-75;-79;-75;-79;-75;-79;-75;-77;-76;-77;-76;-77;-76;-77;-76;-77;-76;-75;-72;-75;-72;-75;-72;-75;-72;-75;-75;-75;-75,-8;-8;-8;-8;-9;-8;-9;-8;-9;-8;-9;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-8;-9;-8;-9;-8;-9;-8;-9;-8;-8;-8;-8,13
vivo,V2002A,10,4G,China Unicom,hubeisheng,wuhanshi,43.7,7901a055e14041dc1a82440eb6c0aa98,56,-84;-84;-84;-85;-85;-85;-85;-85;-82;-82;-82;-82;-81;-81;-81,4,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,0,['Added in API level 30'],20000,150527802,1600,28975,-84;-84;-84;-85;-85;-85;-85;-85;-82;-82;-82;-82;-81;-81;-81,-7;-7;-7;-7;-7;-7;-7;-7;-8;-8;-8;-8;-7;-7;-7,19
Xiaomi,M2103K19C,11,4G,China Mobile,shanxisheng,xianshi,12.8,370e0ae4379937d0d32f5efcd594ae6a,44,-96;-96,2,460,11,46011,-89;-89,2147483647,[],2147483647,39173682,1825,9602,-96;-96,-16;-16,1
vivo,V1938T,10,4G,China Mobile,guizhousheng,bijieshi,315.5,2f0f95eed09ca79f36898076874fb70a,52,-88,3,460,0,46000,2147483647,0,['Added in API level 30'],20000,94211457,38400,34291,-88,-7,21
vivo,V2046A,11,4G,China Unicom,hubeisheng,xiangyangshi,54.3,19ab4ef41d9efb202a9b99a0c77d1986,49,-91;-91;-91;-91;-91;-92;-92;-92;-92;-91;-91;-91;-91;-92;-92;-92;-92;-91;-91;-91;-91;-91,3,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,4,[],20000,29392666,1650,29074,-91;-91;-91;-91;-91;-92;-92;-92;-92;-91;-91;-91;-91;-92;-92;-92;-92;-91;-91;-91;-91;-91,-7;-7;-7;-7;-7;-13;-13;-13;-13;-12;-12;-12;-12;-12;-12;-12;-12;-13;-13;-13;-13;-13,1
vivo,V1938CT,10,4G,China Unicom,guangdongsheng,guangzhoushi,99.6,5b19844f44edb532bb84e76599954e4b,32,-108;-108;-107;-107;-107;-107;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-106;-106;-106,1,460,0,46000,-53;-53;-51;-51;-51;-51;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;-51;-51;-51;-51;-53;-53;-53,0,['Added in API level 30'],15000,174404360,36275,9477,-108;-108;-107;-107;-107;-107;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-106;-106;-106,-8;-8;-8;-8;-8;-8;-7;-7;-7;-7;-7;-7;-7;-7;-7;-6;-6;-6;-6;-6;-6;-6,11
vivo,V1962A,10,4G,China Mobile,shandongsheng,jiningshi,12.1,7637d57cee1127acf8facf8ac3dc7968,64,-76;-76,4,460,0,46000,2147483647;2147483647,4,['Added in API level 30'],20000,79197763,1300,25459,-76;-76,-11;-11,18
vivo,V2133A,11,4G,China Mobile,zhejiangsheng,wenzhoushi,24.7,050e696afbc3127bbaed8806a7382307,85,-55;-55;-55;-55;-55;-55;-55;-55;-55;-58;-58;-58;-58;-61;-61;-61;-61;-61;-56;-56;-56;-56,4,460,0,46000,-69;-69;-69;-69;-69;-69;-69;-69;-69;-71;-71;-71;-71;-71;-71;-71;-71;-71;-69;-69;-69;-69,21,[],2147483647,45039150,38950,26480,-55;-55;-55;-55;-55;-55;-55;-55;-55;-58;-58;-58;-58;-61;-61;-61;-61;-61;-56;-56;-56;-56,-3;-3;-3;-3;-3;-7;-7;-7;-7;-8;-8;-8;-8;-7;-7;-7;-7;-7;-7;-7;-7;-7,3
vivo,V2002A,10,4G,China Unicom,guangdongsheng,shenzhenshi,229.9,d9e1d299f13875d5cda36a7ebf04bf3b,41,-99;-99;-99;-98;-98;-98;-98,2,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,4,['Added in API level 30'],20000,125484080,1850,30516,-99;-99;-99;-98;-98;-98;-98,-13;-13;-13;-14;-14;-14;-14,-2
vivo,V2046A,11,4G,China Mobile,tianjinshi,tianjinshi,58.8,afc1befa3c4a51e5da6c285b81273336,66,-74;-74;-74;-74;-74;-74;-74;-73;-73;-73;-73;-73;-75;-75;-75;-75;-79;-79;-79;-79;-79;-79,4,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,6,[],20000,249420474,1300,8536,-74;-74;-74;-74;-74;-74;-74;-73;-73;-73;-73;-73;-75;-75;-75;-75;-79;-79;-79;-79;-79;-79,-6;-6;-6;-7;-7;-7;-7;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11,1
vivo,V2002A,10,4G,China Mobile,shanxisheng,hanzhongshi,13.8,3ac3273c7a6ff112dcf83d9c63a42b8e,46,-94;-94,3,460,0,46000,2147483647;2147483647,0,['Added in API level 30'],20000,185218689,38400,37225,-94;-94,-9;-8,10
vivo,V2059A,11,4G,China Unicom,jiangsusheng,wuxishi,19.2,8cae83688ed6349b57ef86a4b8843dd3,42,-98;-98;-99;-99;-99;-99;-99;-99;-99,2,460,0,46000,-63;-63;-63;-63;-63;-63;-63;-63;-63,7,[],20000,162812549,40940,20809,-98;-98;-99;-99;-99;-99;-99;-99;-99,-5;-5;-5;-5;-5;-5;-5;-5;-5,2
Xiaomi,21091116AC,11,4G,China Unicom,jiangxisheng,ganzhoushi,94.8,bebb450710b3168f1c8e1c22b954c9e7,48,-92,3,460,1,46001,-87,1,[],2147483647,146946818,1650,29834,-92,-7,1
vivo,V2133A,11,4G,China Mobile,anhuisheng,huainanshi,21.7,606e26afbcd2167618c7246299996625,61,-79;-79;-84;-84;-84;-84;-84;-83;-83;-83;-83;-81;-81;-81;-81;-81;-81;-81;-81;-81;-79;-79,4,460,0,46000,-81;-81;-83;-83;-83;-83;-83;-83;-83;-83;-83;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81,2147483647,[],2147483647,135926914,38400,22194,-79;-79;-84;-84;-84;-84;-84;-83;-83;-83;-83;-81;-81;-81;-81;-81;-81;-81;-81;-81;-79;-79,-8;-8;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-10;-10,2
vivo,V2134A,11,4G,China Unicom,henansheng,puyangshi,13.7,6a694be2fde4fb179a643174424e052d,47,-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-94;-94;-94;-94;-94;-94;-94;-94,3,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,13,[],20000,51717172,1750,61321,-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-93;-94;-94;-94;-94;-94;-94;-94;-94,-14;-14;-14;-14;-15;-15;-15;-15;-15;-14;-14;-14;-14;-15;-15;-15;-15;-15;-17;-17;-17,0
vivo,V2162A,11,4G,China Telecom,guangxizhuangzuzizhiqu,wuzhoushi,3.2,843690b72fe9256990312f75a2c38058,67,-73;-73;-68;-68,4,460,0,46000,-77;-77;-75;-75,2147483647,[],2147483647,248177263,1300,30785,-73;-73;-68;-68,-7;-7;-7;-7,2
